,City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.19,168.86,62.01,62.01,63,100,5.99,NZ,1603529781
1,carnarvon,-24.87,113.63,78.8,78.8,65,0,19.46,AU,1603529782
2,rikitea,-23.12,-134.97,74.1,74.1,83,99,11.68,PF,1603529665
3,tuatapere,-46.13,167.68,62.01,62.01,63,100,5.99,NZ,1603529783
4,coalinga,36.14,-120.36,56.7,60.01,44,25,2.15,US,1603529784
5,port alfred,-33.59,26.89,75.96,75.96,67,72,14.45,ZA,1603529785
6,qaanaaq,77.48,-69.36,17.58,17.58,92,100,9.17,GL,1603529785
7,mocuba,-16.84,36.99,96.66,96.66,22,0,5.32,MZ,1603529786
8,bereznik,62.86,42.71,36.64,36.64,98,100,8.66,RU,1603529786
9,busselton,-33.65,115.33,75.99,75.99,22,2,6.58,AU,1603529787
10,saskylakh,71.92,114.08,11.1,11.1,93,100,18.59,RU,1603529788
11,vaini,-21.2,-175.2,73.4,73.4,83,90,5.82,TO,1603529788
12,lebu,-37.62,-73.65,50.9,50.9,81,100,4.76,CL,1603529789
13,pochutla,15.74,-96.47,78.01,78.01,91,31,3.29,MX,1603529790
14,souillac,-20.52,57.52,80.6,80.6,54,75,13.87,MU,1603529791
15,avarua,-21.21,-159.78,73.4,73.4,73,55,10.29,CK,1603529791
16,quatre cocos,-20.21,57.76,79.75,80.6,54,75,13.87,MU,1603529792
17,luanda,-8.84,13.23,77.0,77.0,83,75,5.82,AO,1603529792
18,klaksvik,62.23,-6.59,42.8,42.8,93,100,39.15,FO,1603529793
19,cape town,-33.93,18.42,64.69,66.0,82,75,12.75,ZA,1603529626
20,biak,-0.91,122.88,82.09,82.09,75,20,3.65,ID,1603529794
21,hermanus,-34.42,19.23,67.89,67.89,78,93,6.76,ZA,1603529795
22,mikkeli,61.69,27.27,35.37,35.6,77,75,8.05,FI,1603529796
23,kaitangata,-46.28,169.85,55.99,55.99,79,84,4.23,NZ,1603529796
24,cidreira,-30.18,-50.21,66.58,66.58,93,95,7.85,BR,1603529797
25,upernavik,72.79,-56.15,21.0,21.0,93,100,7.94,GL,1603529798
26,bourail,-21.57,165.48,76.53,76.53,73,0,5.26,NC,1603529798
27,port elizabeth,-33.92,25.57,77.0,77.0,69,40,10.29,ZA,1603529799
28,banda aceh,5.56,95.32,85.03,85.03,65,84,14.09,ID,1603529703
29,bredasdorp,-34.53,20.04,75.2,75.2,60,99,1.12,ZA,1603529800
30,hilo,19.73,-155.09,71.17,73.4,88,1,4.7,US,1603529257
31,severo-kurilsk,50.68,156.12,45.36,45.36,88,100,40.06,RU,1603529801
32,sakakah,29.97,40.21,80.6,80.6,12,0,4.7,SA,1603529802
33,tura,25.52,90.22,71.65,71.65,98,100,2.44,IN,1603529803
34,clyde river,70.47,-68.59,23.0,23.0,79,90,10.29,CA,1603529803
35,zabid,14.2,43.32,95.92,95.92,33,97,8.14,YE,1603529804
36,port keats,-14.25,129.55,84.9,84.9,68,47,8.37,AU,1603529805
37,maldonado,-34.67,-54.92,59.0,59.0,100,90,3.36,UY,1603529805
38,jamestown,42.1,-79.24,45.63,46.0,93,90,10.29,US,1603529574
39,fairbanks,64.84,-147.72,20.86,25.0,92,1,1.48,US,1603529711
40,san patricio,28.02,-97.52,59.58,60.8,72,75,20.8,US,1603529807
41,ust-maya,60.42,134.53,14.32,14.32,94,0,1.3,RU,1603529808
42,ushuaia,-54.8,-68.3,39.2,39.2,80,75,10.29,AR,1603529808
43,atuona,-9.8,-139.03,78.42,78.42,78,10,17.94,PF,1603529810
44,san cristobal,7.77,-72.22,67.14,67.14,75,100,1.23,VE,1603529810
45,cuamba,-14.8,36.54,96.89,96.89,21,9,3.96,MZ,1603529811
46,tasiilaq,65.61,-37.64,32.0,32.0,88,100,4.7,GL,1603529812
47,srednekolymsk,67.45,153.68,19.51,19.51,90,0,3.53,RU,1603529812
48,santa cruz,-17.8,-63.17,77.0,77.0,78,40,6.93,BO,1603529813
49,zheleznodorozhnyy,55.75,38.0,53.73,54.0,71,40,6.71,RU,1603529814
50,petropavlovsk-kamchatskiy,53.05,158.65,42.8,42.8,75,75,13.42,RU,1603529814
51,georgetown,5.41,100.34,84.13,84.2,79,20,12.75,MY,1603529815
52,bilibino,68.05,166.44,15.49,15.49,88,0,1.9,RU,1603529815
53,mabaruma,8.2,-59.78,74.57,74.57,98,37,2.62,GY,1603529816
54,victoria,22.29,114.16,72.86,77.0,56,100,1.01,HK,1603529815
55,santa ana,33.75,-117.87,64.4,66.99,72,90,0.74,US,1603529543
56,new norfolk,-42.78,147.06,46.13,50.0,61,75,17.22,AU,1603529818
57,bathsheba,13.22,-59.52,82.4,82.4,74,40,23.04,BB,1603529819
58,bluff,-46.6,168.33,62.01,62.01,63,100,5.99,NZ,1603529820
59,hithadhoo,-0.6,73.08,83.75,83.75,75,42,11.95,MV,1603529820
60,olafsvik,64.89,-23.71,43.99,43.99,77,100,25.72,IS,1603529821
61,hay river,60.82,-115.8,15.8,15.8,85,75,10.29,CA,1603529822
62,ixtapa,20.7,-105.2,82.99,82.99,91,99,1.01,MX,1603529822
63,lavrentiya,65.58,-171.0,33.82,33.82,92,99,2.46,RU,1603529823
64,punta arenas,-53.15,-70.92,42.39,42.8,93,90,11.41,CL,1603529823
65,khatanga,71.97,102.5,13.46,13.46,96,100,14.94,RU,1603529825
